F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
33.279427,0.012194925,33.020405,33.187748,33.479816,0.45941162,0.46512517,0.0,10.692195,7.291849,1.9540561,0.42076722,2.1233969,2.2389097,2.359999,0.23660207,1.7998686,1.1605002,0.44739223,0.0,0.16325836,0.7537715,6.4914274,0.86058915,-21.056677,-0.65692157,-4.1199355,-1.4339383,-12.560126,-0.7979595,0.0032126964,3.6020906,0.20341314,0.9880277,10.232963,0.20480505,-5.5457582,-0.18028955,-7.3315005,-0.36623898,486.56543,0.21324855,1205.1776,0.1389922,-36.753357,-2.0500214,1433.6111,0.064339,1097.5106,0.18135564,-22.966074,-3.473589,2555.48,0.042429384,784.4433,0.23469913,-31.096132,-2.448875,7.2781124,0.1571556,9.658545,0.20602679,0.055585608,0.13703321,0.019708809,0.15462577,0.19007897,0.60929495,8.622689,0.24362865,-27.25995,-0.06365568,-5.7239904,-0.64191824,-16.923223,-0.15616587,0.9901826,6.245359,0.030966965,0.016015235,0.03585158,0.1356852,0.13661203,6.08,0.0,0.60499996,0.065,-17.354052
25.67206,0.011884073,25.461609,25.677765,25.88721,0.42560196,5.2813406,2.8742917,4.9014688,3.4554133,1.3664882,0.35521317,1.257248,1.4409922,1.7075553,0.45030725,3.2852447,1.2156091,0.65347,0.3053828,0.2769734,0.36588714,34.772873,0.18139267,-8.577982,-0.9335326,-11.797021,-0.687279,3.928731,1.3629106,0.0048786527,0.6645368,0.46704277,0.47868732,7.632103,0.091865875,2.753339,0.5617179,18.5118,0.49292445,599.2651,0.17401311,1585.037,0.14519405,-33.109016,-2.1827333,1520.888,0.0879001,1383.7699,0.27101374,-33.47733,-2.1540108,2508.481,0.13134776,1231.7957,0.32386184,-47.476357,-1.4019938,-4.6546936,-0.70164603,23.184557,0.12236183,0.039077368,0.1333296,-0.01159403,-0.6087106,0.3047685,0.255581,37.18437,0.06382482,-9.149805,-0.90922713,-14.483596,-0.34206322,5.1876245,0.69278854,-6.6068397,16.55414,0.042990994,-0.004509429,0.13803361,0.4497751,0.1510574,5.5699997,0.0,0.51,0.22,-18.836264
31.163599,0.042563695,30.897015,31.401958,31.67451,0.77749443,86.864044,60.147568,16.813507,19.446384,1.1167551,0.59668285,0.1764416,1.3095369,1.6233308,1.4468893,4.9950004,3.8221123,3.7217655,2.4570577,0.21531321,0.87302315,29.138453,0.23241761,-15.329877,-0.6446991,0.9222913,10.112131,-11.546439,-0.609325,0.010687997,2.8013692,0.7548265,1.3845513,8.056721,0.6026236,0.79262555,3.3103838,16.270567,0.2668291,576.22076,0.22778551,1473.9493,0.11716952,-65.15808,-1.4598653,1497.5039,0.06773038,1153.6572,0.15562975,-66.12081,-1.4201477,2662.1345,0.06712924,1103.5208,0.41436228,-75.55456,-1.1560045,-3.8508863,-0.69029176,17.780416,0.14323664,0.06757458,0.17709541,-0.010376014,-0.83496,0.2608928,0.56282425,32.863678,0.08999114,-19.979904,-0.2673723,-4.3103614,-1.0929098,-14.48064,-0.35014775,-6.2927475,15.896188,0.03605158,0.007207332,0.12721872,1.7679558,0.5555556,1.194,1.5832701,0.48666668,0.5569759,-20.892603
32.346355,0.034653414,31.914566,32.107513,32.392704,0.47813797,1.3751767,0.0,34.68352,23.152023,0.58269525,0.28967616,0.52622396,0.6279822,0.6870417,0.16081774,3.0837667,3.2613654,1.0526689,1.7874511,0.1266221,0.46909136,37.456898,0.17054987,-1.4508163,-3.9582832,-3.0245645,-2.0286543,5.5439734,1.0986891,0.007550877,0.64956725,0.6907668,0.48657936,9.629911,0.134881,10.930149,0.2864789,30.333626,0.13586308,641.9921,0.2390144,1577.6958,0.14806104,-41.283966,-1.7588252,1521.975,0.080771014,1063.2545,0.1247275,-45.750366,-1.4886043,2735.6619,0.046967987,754.40717,0.2754204,-59.586456,-1.0410159,-12.483883,-0.1840386,28.571169,0.1034108,0.0393952,0.2187767,-0.0056698443,-1.4289587,0.12685475,0.28355303,39.42129,0.055679057,0.37992048,8.33271,-3.2220898,-1.022789,6.2469172,0.88672525,-5.089032,19.390903,0.028781237,0.010263997,0.11919657,1.2072436,0.40650406,2.0449998,2.0049999,0.26,0.14696938,-26.846245
33.723343,0.022364167,33.1109,33.425926,34.392967,1.2820663,-5.990813,0.0,0.6109201,0.0,1.2307556,0.3360352,1.1139996,1.256136,1.420255,0.30625534,5.952624,5.0391393,0.93692505,0.60985184,0.18463804,0.35177428,26.413815,0.29270804,-11.39329,-0.6021295,-17.027822,-0.6918429,-4.1901,-1.069334,0.0031753436,0.9144347,0.4900548,0.42589286,10.202003,0.13032477,5.1702523,0.28192246,21.188536,0.27906403,709.2024,0.13792674,1353.832,0.10303667,-31.38121,-2.247734,1618.8344,0.06476114,1028.5927,0.18014382,-27.041191,-2.662793,2893.8977,0.070950575,847.89734,0.45417517,-48.912792,-1.2902092,1.1925262,1.8715136,25.337309,0.13354327,0.03290462,0.35116532,0.009859748,0.49784473,0.19603273,0.3071767,28.711178,0.15031604,-13.793153,-0.2719109,-21.70187,-0.18818387,-4.5732574,-0.890685,-5.0498376,11.153577,0.015760066,-0.0022248207,0.12381903,0.29282576,0.14749263,5.77,0.0,0.48999998,0.01,-21.047905
30.445501,0.038613986,30.367147,30.557386,30.706255,0.3391075,575.5735,402.0715,12.097857,10.153667,1.1084595,0.2747408,0.9312313,1.165187,1.3144267,0.38319534,2.295956,2.1989217,1.7082815,0.9996174,0.30403626,0.28524247,36.998283,0.12079429,-13.598599,-0.5561307,-2.1991131,-2.2258105,2.4815264,1.8057225,0.0057930783,0.98604316,0.79923767,0.49597612,6.487851,0.26510105,1.7789108,1.2908217,17.772867,0.40620637,545.40924,0.32612497,1626.8604,0.13364595,-23.341948,-2.5390847,1442.0664,0.10275461,1231.7432,0.13078056,-23.286951,-2.5016077,2574.9084,0.06876449,1114.7147,0.2743386,-37.712673,-1.4202853,-4.1060104,-0.5807516,19.801903,0.14628385,0.021753913,0.52842057,0.0013197272,4.590769,0.3164603,0.25728562,37.896572,0.08791273,-15.432814,-0.35841757,-3.45766,-0.83658636,3.286225,1.078608,-12.913317,24.0418,0.0033940263,-0.008683956,0.20126235,1.509434,0.37974685,2.3633332,2.9465725,0.25,0.2839014,-21.9874
24.149725,0.024103122,23.68451,24.027119,24.696228,1.0117188,6.607256,3.31715,5.483795,3.607069,1.5762967,0.38022393,1.2408324,1.7656921,1.9923636,0.7515311,3.030544,2.5545404,4.026441,3.646465,0.3290936,0.45347238,28.572168,0.18682371,-21.819141,-0.5785766,3.1569123,1.3617764,-7.8784184,-1.1025866,0.0066366373,0.71280575,0.68278074,0.68138814,5.564525,0.3324547,1.878445,1.2262231,4.081871,1.0761237,473.44113,0.13802779,1249.9612,0.114472196,-38.662056,-1.9326134,1347.9829,0.05942417,1141.4384,0.20745228,-34.113735,-2.2522988,2334.5186,0.03646754,811.3535,0.21306475,-41.91951,-1.748257,-0.83811265,-3.375586,10.183913,0.2579496,0.02373464,0.30332255,-0.0025002775,-3.4755685,0.36887515,0.34920627,30.37934,0.11428482,-26.55696,-0.16400899,2.3878677,1.5845853,-10.17458,-0.7294448,-8.051598,17.766539,0.027175158,-0.003970849,0.14743412,1.3620886,0.11415525,7.21,0.0,0.76,0.48999998,-18.811214
35.89449,0.042213716,35.978912,36.068226,36.232494,0.253582,9.268717,0.8329033,2.7781603,0.0,1.6010671,0.3307915,1.2039738,1.7773372,1.9380875,0.7341137,4.0828805,3.019189,1.9263428,1.8109801,0.3689686,0.58767104,28.860985,0.12811212,-17.867054,-0.35651428,-7.0097055,-1.0875037,-7.487974,-0.7704335,0.009209997,2.2287,0.89376205,0.4755409,8.24796,0.33489305,0.5832103,8.609393,15.448018,0.2475392,718.98956,0.24219285,1575.3721,0.11590102,-14.007438,-3.546002,1595.9808,0.07586327,1194.1088,0.16091958,-15.647512,-3.0018508,2672.08,0.07105012,950.0087,0.49618143,-26.22176,-1.6914618,-4.2308993,-0.47470075,15.505805,0.19669686,0.054378107,0.22323936,-0.00811343,-0.7414721,0.38440752,0.5082603,29.359064,0.102575146,-19.153923,-0.21982536,-8.184418,-0.77510977,-7.8992767,-0.70761186,-9.950048,15.597779,0.032748982,-4.0305506e-05,0.16461913,0.61349696,0.20661159,4.5299997,0.0,0.14,0.11,-17.939285
35.530582,0.004962804,35.373775,35.526917,35.645954,0.27217865,1.8400528,0.78760725,1.6462187,1.197918,1.7037933,0.17326327,1.6315354,1.7516929,1.8549871,0.22345173,6.174513,8.7551365,0.77399296,0.32194734,0.368405,0.254144,28.339499,0.074530154,-28.45958,-0.22414003,1.6436944,2.0210516,-12.176158,-0.2994516,0.0023754083,0.47698835,0.6145888,0.41206086,8.648604,0.12863745,-7.4748178,-0.44435275,0.6487509,7.2575793,489.94016,0.15232088,1296.8802,0.11951094,-15.835894,-2.6311443,1489.9437,0.045634944,1191.1781,0.24072227,-5.6182885,-7.6722746,2379.1926,0.086961076,1628.9763,0.36289108,-17.40739,-2.336719,-0.7465515,-2.0455542,15.6329775,0.14205742,0.023591582,0.49677673,-0.0010620173,-4.663319,0.37434864,0.2407589,28.620459,0.048700716,-29.791645,-0.089265436,1.1936555,2.174651,-12.663561,-0.2357056,-7.193913,17.932936,0.019803101,0.004058389,0.25634897,0.30581042,0.10245901,9.29,0.0,0.22,0.14999999,-18.662825
32.52697,0.09406215,32.776623,33.288956,33.703285,0.92666245,168.06741,141.18681,200.06218,407.12012,0.71063715,0.5870231,0.38930836,0.6361808,0.8903934,0.50108504,3.0524921,4.1360884,1.4175559,0.9372038,0.18802968,0.59519553,21.743168,0.2792213,7.7404876,1.1813003,-6.557964,-1.3001846,-0.28893533,-21.278475,0.023476517,2.178788,0.9296196,0.5858912,6.2507515,0.36817622,7.2103634,0.4121241,20.660244,0.3176572,756.7013,0.1819284,1409.752,0.13210392,-65.84966,-1.3125937,1663.5835,0.083648026,1141.9165,0.24210903,-68.55895,-1.2263442,2847.206,0.10711804,962.8604,0.43526936,-77.86979,-1.0052878,-8.572035,-0.50386643,22.430008,0.1907733,-0.01213762,-1.3480031,-0.007474546,-0.8709603,0.2044419,0.57876724,23.803547,0.16351706,4.719348,1.539841,-9.044825,-0.7315749,-1.5145955,-3.516708,-14.688109,24.942726,-0.01362079,-0.008370841,0.16076764,1.2290503,1.5730338,0.435,0.6964783,0.24700001,0.41369188,-26.314363
